stuUserId,examinationId,startDatetime,questionId,questionType,knowledgeTagIds,scorePercentage
83,4,9/19/20 10:02,1KQ7G74SK7,SHORTANSWER,"[""268356"", ""268347""]",1.0
83,4,9/19/20 10:02,1KQ7G74SK9,MCHOICE,"[""268138""]",1.0
83,4,9/19/20 10:02,1KQ7G74SKC,FILLBLANK,"[""268138""]",1.0
83,4,9/19/20 10:02,1KQ7G74SKE,SCHOICE,"[""268131""]",1.0
83,4,9/19/20 10:02,1KQ7G74SKH,SCHOICE,"[""268132""]",1.0
83,4,9/19/20 10:02,1KQ7G74SKI,SCHOICE,"[""268132""]",1.0
83,4,9/19/20 10:02,1KQ7G74SKK,SHORTANSWER,"[""268133"", ""268132""]",1.0
83,4,9/19/20 10:02,1KQ7G74SKL,SCHOICE,"[""268132""]",1.0
83,4,9/19/20 10:02,1KQ7G74SKN,SHORTANSWER,"[""268132""]",0.5
83,4,9/19/20 10:02,1KQ7G74SKO,MCHOICE,"[""268237""]",1.0
83,4,9/19/20 10:02,1KQ7G74SKV,SCHOICE,"[""268327""]",1.0
83,4,9/19/20 10:02,1KQ7G74SKY,SCHOICE,"[""268128""]",1.0
83,4,9/19/20 10:02,1KQ7G74SL0,FILLBLANK,"[""268132""]",1.0
83,4,9/19/20 10:02,1KQ7G74SL9,FILLBLANK,"[""268133""]",0.0
83,4,9/19/20 10:02,1KQ7G74SLH,FILLBLANK,"[""268347""]",1.0
83,4,9/19/20 10:02,1KQ7G74SLI,SCHOICE,"[""268127""]",1.0
83,4,9/19/20 10:02,1KQ7G74SLZ,SHORTANSWER,"[""268130"", ""268125"", ""268127""]",0.8125
83,11,9/26/20 10:01,1KQV9JBWHF,SHORTANSWER,"[""268360""]",1.0
83,11,9/26/20 10:01,1KQV9JBWHG,SCHOICE,"[""268129""]",1.0
83,11,9/26/20 10:01,1KQV9JBWHI,SCHOICE,"[""268347""]",1.0
83,11,9/26/20 10:01,1KQV9JBWHM,SHORTANSWER,"[""268132""]",1.0
83,11,9/26/20 10:01,1KQV9JBWHN,SHORTANSWER,"[""268132"", ""268125""]",0.666667
83,11,9/26/20 10:01,1KQV9JBWHO,SCHOICE,"[""268132""]",1.0
83,11,9/26/20 10:01,1KQV9JBWHP,FILLBLANK,"[""268132""]",1.0
83,11,9/26/20 10:01,1KQV9JBWHX,SCHOICE,"[""268138""]",1.0
83,11,9/26/20 10:01,1KQV9JBWHY,SCHOICE,"[""268237""]",1.0
83,11,9/26/20 10:01,1KQV9JBWI1,SCHOICE,"[""268133""]",1.0
83,11,9/26/20 10:01,1KQV9JBWI7,SCHOICE,"[""268128""]",1.0
83,11,9/26/20 10:01,1KQV9JBWIC,FILLBLANK,"[""268347""]",0.0
83,11,9/26/20 10:01,1KQV9JBWID,SHORTANSWER,"[""268347""]",1.0
83,11,9/26/20 10:01,1KQV9JBWII,MCHOICE,"[""268133""]",0.0
83,11,9/26/20 10:01,1KQV9JBWIJ,SCHOICE,"[""268132""]",1.0
83,11,9/26/20 10:01,1KQV9JBWIL,FILLBLANK,"[""268127""]",0.0
83,11,9/26/20 10:01,1KQV9JBWIM,SCHOICE,"[""268133"", ""268132""]",1.0
83,11,9/26/20 10:01,1KQV9JBWIQ,FILLBLANK,"[""268347""]",1.0
83,11,9/26/20 10:01,1KQV9JBWIS,SCHOICE,"[""268138""]",1.0
83,505,10/24/20 13:27,1KU2DCAA0D,SCHOICE,"[""268352"", ""268346""]",1.0
83,505,10/24/20 13:27,1KU2DCAA0E,MCHOICE,"[""268353""]",1.0
83,505,10/24/20 13:27,1KU2DCAA0G,SCHOICE,"[""268347""]",1.0
83,505,10/24/20 13:27,1KU2DCAA0I,SHORTANSWER,"[""268360""]",1.0
83,505,10/24/20 13:27,1KU2DCAA0J,FILLBLANK,"[""268347""]",0.0
83,505,10/24/20 13:27,1KU2DCAA0K,SCHOICE,"[""268347""]",1.0
