stuUserId,examinationId,startDatetime,questionId,questionType,knowledgeTagIds,scorePercentage
82,2668,2022-03-06 14:57:00,1MCR2OM553,MCHOICE,"[""268174""]",1.0
84,2668,2022-03-06 14:57:00,1MCR2OM553,MCHOICE,"[""268174""]",0.4
85,2668,2022-03-06 14:57:00,1MCR2OM553,MCHOICE,"[""268174""]",1.0
86,2668,2022-03-06 14:57:00,1MCR2OM553,MCHOICE,"[""268174""]",1.0
87,2668,2022-03-06 14:57:00,1MCR2OM553,MCHOICE,"[""268174""]",1.0
88,2668,2022-03-06 14:57:00,1MCR2OM553,MCHOICE,"[""268174""]",1.0
89,2668,2022-03-06 14:57:00,1MCR2OM553,MCHOICE,"[""268174""]",1.0
90,2668,2022-03-06 14:57:00,1MCR2OM553,MCHOICE,"[""268174""]",1.0
91,2668,2022-03-06 14:57:00,1MCR2OM553,MCHOICE,"[""268174""]",1.0
92,2668,2022-03-06 14:57:00,1MCR2OM553,MCHOICE,"[""268174""]",1.0
93,2668,2022-03-06 14:57:00,1MCR2OM553,MCHOICE,"[""268174""]",1.0
94,2668,2022-03-06 14:57:00,1MCR2OM553,MCHOICE,"[""268174""]",0.4
95,2668,2022-03-06 14:57:00,1MCR2OM553,MCHOICE,"[""268174""]",0.4
96,2668,2022-03-06 14:57:00,1MCR2OM553,MCHOICE,"[""268174""]",1.0
97,2668,2022-03-06 14:57:00,1MCR2OM553,MCHOICE,"[""268174""]",1.0
98,2668,2022-03-06 14:57:00,1MCR2OM553,MCHOICE,"[""268174""]",1.0
99,2668,2022-03-06 14:57:00,1MCR2OM553,MCHOICE,"[""268174""]",1.0
101,2668,2022-03-06 14:57:00,1MCR2OM553,MCHOICE,"[""268174""]",1.0
102,2668,2022-03-06 14:57:00,1MCR2OM553,MCHOICE,"[""268174""]",1.0
103,2668,2022-03-06 14:57:00,1MCR2OM553,MCHOICE,"[""268174""]",1.0
104,2668,2022-03-06 14:57:00,1MCR2OM553,MCHOICE,"[""268174""]",1.0
105,2668,2022-03-06 14:57:00,1MCR2OM553,MCHOICE,"[""268174""]",1.0
106,2668,2022-03-06 14:57:00,1MCR2OM553,MCHOICE,"[""268174""]",1.0
107,2668,2022-03-06 14:57:00,1MCR2OM553,MCHOICE,"[""268174""]",1.0
108,2668,2022-03-06 14:57:00,1MCR2OM553,MCHOICE,"[""268174""]",1.0
109,2668,2022-03-06 14:57:00,1MCR2OM553,MCHOICE,"[""268174""]",0.0
110,2668,2022-03-06 14:57:00,1MCR2OM553,MCHOICE,"[""268174""]",1.0
112,2668,2022-03-06 14:57:00,1MCR2OM553,MCHOICE,"[""268174""]",0.4
113,2668,2022-03-06 14:57:00,1MCR2OM553,MCHOICE,"[""268174""]",1.0
114,2668,2022-03-06 14:57:00,1MCR2OM553,MCHOICE,"[""268174""]",0.4
115,2668,2022-03-06 14:57:00,1MCR2OM553,MCHOICE,"[""268174""]",0.4
118,2668,2022-03-06 14:57:00,1MCR2OM553,MCHOICE,"[""268174""]",1.0
119,2668,2022-03-06 14:57:00,1MCR2OM553,MCHOICE,"[""268174""]",1.0
120,2668,2022-03-06 14:57:00,1MCR2OM553,MCHOICE,"[""268174""]",1.0
123,2668,2022-03-06 14:57:00,1MCR2OM553,MCHOICE,"[""268174""]",1.0
125,2668,2022-03-06 14:57:00,1MCR2OM553,MCHOICE,"[""268174""]",1.0
127,2668,2022-03-06 14:57:00,1MCR2OM553,MCHOICE,"[""268174""]",0.4
129,2668,2022-03-06 14:57:00,1MCR2OM553,MCHOICE,"[""268174""]",0.4
133,2668,2022-03-06 14:57:00,1MCR2OM553,MCHOICE,"[""268174""]",1.0
