stuUserId,knowledgeTagIds,scorePercentage
82,"[""268004""]",1.0
82,"[""268007""]",1.0
82,"[""268008""]",1.0
82,"[""268009""]",1.0
82,"[""268011""]",1.0
82,"[""268013""]",0.9
82,"[""268014""]",1.0
82,"[""268014""]",1.0
82,"[""268015""]",1.0
82,"[""268017""]",1.0
82,"[""268017""]",0.9
82,"[""268024""]",1.0
82,"[""268026""]",1.0
82,"[""268027""]",1.0
82,"[""268028""]",1.0
82,"[""268029""]",1.0
82,"[""268030""]",1.0
82,"[""268030""]",1.0
82,"[""268034""]",1.0
82,"[""268035""]",1.0
82,"[""268036""]",1.0
82,"[""268039""]",1.0
82,"[""268043""]",0.8
82,"[""268044""]",0.0
82,"[""268045""]",1.0
82,"[""268047""]",1.0
82,"[""268049""]",1.0
82,"[""268050""]",1.0
82,"[""268051""]",1.0
82,"[""268052""]",1.0
82,"[""268054""]",1.0
82,"[""268056""]",1.0
82,"[""268068""]",1.0
82,"[""268073""]",1.0
82,"[""268074""]",0.833333
82,"[""268075""]",1.0
82,"[""268078""]",1.0
82,"[""268085""]",1.0
82,"[""268086""]",1.0
82,"[""268088""]",0.9722223333333333
82,"[""268090""]",0.6666666666666666
82,"[""268091""]",0.9166665
82,"[""268093""]",1.0
82,"[""268094""]",1.0
82,"[""268095""]",1.0
82,"[""268101""]",1.0
82,"[""268101""]",0.6111110000000001
82,"[""268102""]",0.9166665
82,"[""268103""]",1.0
82,"[""268104""]",0.777778
82,"[""268106""]",1.0
82,"[""268106""]",1.0
82,"[""268110""]",0.6
82,"[""268111""]",1.0
82,"[""268112""]",1.0
82,"[""268117""]",1.0
82,"[""268118""]",0.95833325
82,"[""268123""]",1.0
82,"[""268124""]",1.0
82,"[""268125""]",0.975
82,"[""268126""]",1.0
82,"[""268127""]",0.96875
82,"[""268128""]",1.0
82,"[""268129""]",1.0
82,"[""268130""]",0.875
82,"[""268131""]",1.0
82,"[""268132""]",1.0
82,"[""268132""]",1.0
82,"[""268133""]",0.7999999999999999
82,"[""268134""]",0.6666666666666666
82,"[""268136""]",0.7
82,"[""268138""]",1.0
82,"[""268139""]",1.0
82,"[""268142""]",1.0
82,"[""268147""]",0.0
82,"[""268148""]",1.0
82,"[""268149""]",1.0
82,"[""268150""]",1.0
82,"[""268156""]",1.0
82,"[""268156""]",0.6666666666666666
82,"[""268157""]",1.0
82,"[""268158""]",0.0
82,"[""268163""]",0.6666666666666666
82,"[""268164""]",1.0
82,"[""268165""]",1.0
82,"[""268165""]",1.0
82,"[""268166""]",1.0
82,"[""268166""]",1.0
82,"[""268174""]",0.875
82,"[""268177""]",1.0
82,"[""268178""]",1.0
82,"[""268183""]",0.875
82,"[""268184""]",1.0
82,"[""268184""]",0.916667
82,"[""268189""]",1.0
82,"[""268190""]",1.0
82,"[""268191""]",1.0
82,"[""268194""]",1.0
82,"[""268195""]",1.0
82,"[""268196""]",1.0
82,"[""268201""]",0.9722223333333333
82,"[""268202""]",1.0
82,"[""268202""]",0.8333335
82,"[""268203""]",1.0
82,"[""268204""]",1.0
82,"[""268205""]",1.0
82,"[""268207""]",1.0
82,"[""268212""]",1.0
82,"[""268213""]",1.0
82,"[""268216""]",1.0
82,"[""268217""]",1.0
82,"[""268237""]",1.0
82,"[""268240""]",1.0
82,"[""268245""]",1.0
82,"[""268259""]",0.6666666666666666
82,"[""268260""]",0.0
82,"[""268262""]",1.0
82,"[""268262""]",1.0
